日期,降水量_mm,降雪量_mm,最高气温_°C,最低气温_°C,station_id
2010/1/1,0,0,-0.89,-1.5,GHCND:USW00094846
2010/1/2,0,0,-1.17,-1.67,GHCND:USW00094846
2010/1/3,0,0,-0.78,-1.83,GHCND:USW00094846
2010/1/4,0,0,-0.78,-1.39,GHCND:USW00094846
2010/1/5,0,0,-0.5,-1.06,GHCND:USW00094846
2010/1/6,0.03,3,-0.67,-1.22,GHCND:USW00094846
2010/1/7,0.6900000000000001,99,-0.56,-0.89,GHCND:USW00094846
2010/1/8,0.6900000000000001,89,-0.28,-1.17,GHCND:USW00094846
2010/1/9,0,0,-0.56,-1.44,GHCND:USW00094846
2010/1/10,0,0,-0.78,-1.78,GHCND:USW00094846
2010/1/11,0,0,-0.33,-0.94,GHCND:USW00094846
2010/1/12,0,0,-0.06,-0.67,GHCND:USW00094846
2010/1/13,0,0,0.17,-0.72,GHCND:USW00094846
2010/1/14,0,0,0.44000000000000006,-0.06,GHCND:USW00094846
2010/1/15,0,0,0.11000000000000001,-0.39,GHCND:USW00094846
2010/1/16,0,0,-0.28,-0.5,GHCND:USW00094846
2010/1/17,0,0,-0.17,-0.72,GHCND:USW00094846
2010/1/18,0,0,-0.06,-0.28,GHCND:USW00094846
2010/1/19,0,0,0.33,-0.28,GHCND:USW00094846
2010/1/20,0.03,0,0.06,-0.44,GHCND:USW00094846
2010/1/21,0.2,0,0.17,-0.11,GHCND:USW00094846
2010/1/22,0,0,0.17,0.06,GHCND:USW00094846
2010/1/23,0,0,0.67,0.11000000000000001,GHCND:USW00094846
2010/1/24,1.2400000000000002,0,0.78,-0.11,GHCND:USW00094846
2010/1/25,0,13,0,-0.72,GHCND:USW00094846
2010/1/26,0,5,-0.44,-1.11,GHCND:USW00094846
2010/1/27,0,23,-0.5,-1.28,GHCND:USW00094846
2010/1/28,0,0,-0.83,-1.44,GHCND:USW00094846
2010/1/29,0,0,-0.61,-1.5,GHCND:USW00094846
2010/1/30,0,0,-0.39,-0.78,GHCND:USW00094846
2010/1/31,0,0,-0.17,-0.94,GHCND:USW00094846
2010/2/1,0,0,-0.11,-1,GHCND:USW00094846
2010/2/2,0.25,53,0,-0.39,GHCND:USW00094846
2010/2/3,0,0,0,-0.5,GHCND:USW00094846
2010/2/4,0,0,0.06,-0.61,GHCND:USW00094846
2010/2/5,0.05,5,0.17,-0.11,GHCND:USW00094846
2010/2/6,0,0,-0.06,-0.39,GHCND:USW00094846
2010/2/7,0,0,-0.06,-0.5,GHCND:USW00094846
2010/2/8,0,0,-0.11,-0.67,GHCND:USW00094846
2010/2/9,1.6500000000000001,320,-0.22,-0.5,GHCND:USW00094846
2010/2/10,0.05,8,-0.33,-0.83,GHCND:USW00094846
2010/2/11,0,0,-0.11,-1.22,GHCND:USW00094846
2010/2/12,0,0,0,-1.22,GHCND:USW00094846
2010/2/13,0,0,-0.11,-1.17,GHCND:USW00094846
2010/2/14,0,0,-0.17,-1.28,GHCND:USW00094846
2010/2/15,0,8,-0.22,-1.44,GHCND:USW00094846
2010/2/16,0,0,0,-0.39,GHCND:USW00094846
2010/2/17,0,0,0,-0.33,GHCND:USW00094846
2010/2/18,0,0,0.39,-0.39,GHCND:USW00094846
2010/2/19,0,0,0.5599999999999999,-0.72,GHCND:USW00094846
2010/2/20,0.03,5,0.39,-0.11,GHCND:USW00094846
2010/2/21,0.91,51,0.22000000000000003,0.06,GHCND:USW00094846
2010/2/22,0.36000000000000004,28,0.06,-0.17,GHCND:USW00094846
2010/2/23,0,0,0.06,-0.56,GHCND:USW00094846
2010/2/24,0.86,91,-0.17,-0.61,GHCND:USW00094846
2010/2/25,0,0,-0.22,-0.78,GHCND:USW00094846
2010/2/26,0,0,-0.06,-0.83,GHCND:USW00094846
2010/2/27,0,3,0.11000000000000001,-0.22,GHCND:USW00094846
2010/2/28,0,0,0.33,0,GHCND:USW00094846
2010/3/1,0,0,0.22000000000000003,-0.28,GHCND:USW00094846
2010/3/2,0,0,0.06,-0.5,GHCND:USW00094846
2010/3/3,0,0,0.39,-0.44,GHCND:USW00094846
2010/3/4,0,0,0.5599999999999999,-0.56,GHCND:USW00094846
2010/3/5,0,0,0.33,-0.5,GHCND:USW00094846
2010/3/6,0,0,0.7200000000000001,-0.67,GHCND:USW00094846
2010/3/7,0.08,0,0.78,-0.33,GHCND:USW00094846
2010/3/8,0,0,0.67,0.06,GHCND:USW00094846
2010/3/9,0.03,0,1.06,0,GHCND:USW00094846
2010/3/10,0.18000000000000002,0,1.67,0.78,GHCND:USW00094846
2010/3/11,0.86,0,1.56,0.67,GHCND:USW00094846
2010/3/12,0.03,0,1.2800000000000002,0.44000000000000006,GHCND:USW00094846
2010/3/13,1.55,0,0.7200000000000001,0.5,GHCND:USW00094846
2010/3/14,0,0,1,0.44000000000000006,GHCND:USW00094846
2010/3/15,0,0,0.8900000000000001,0.39,GHCND:USW00094846
2010/3/16,0,0,1.6100000000000003,0.17,GHCND:USW00094846
2010/3/17,0,0,1.72,0,GHCND:USW00094846
2010/3/18,0,0,1.6100000000000003,0.5,GHCND:USW00094846
2010/3/19,0,0,1.83,0.39,GHCND:USW00094846
2010/3/20,1.07,46,0.39,-0.06,GHCND:USW00094846
2010/3/21,0.05,0,0.5599999999999999,0.06,GHCND:USW00094846
2010/3/22,0,0,0.9400000000000001,0.11000000000000001,GHCND:USW00094846
2010/3/23,0,0,1.5,-0.22,GHCND:USW00094846
2010/3/24,0,0,1.17,0.17,GHCND:USW00094846
2010/3/25,0.08,0,0.8300000000000001,-0.17,GHCND:USW00094846
2010/3/26,0,0,0.5,-0.28,GHCND:USW00094846
2010/3/27,0.03,0,1,-0.06,GHCND:USW00094846
2010/3/28,0,0,1.11,0.27999999999999997,GHCND:USW00094846
2010/3/29,0,0,0.78,-0.11,GHCND:USW00094846
2010/3/30,0,0,1.7800000000000002,-0.17,GHCND:USW00094846
2010/3/31,0,0,2.5,1.06,GHCND:USW00094846
2010/4/1,0,0,2.83,1.22,GHCND:USW00094846
2010/4/2,0,0,2.72,1.5,GHCND:USW00094846
2010/4/3,0.45999999999999996,0,1.5,0.9400000000000001,GHCND:USW00094846
2010/4/4,2.0300000000000002,0,2.44,0.39,GHCND:USW00094846
2010/4/5,2.08,0,2.22,1,GHCND:USW00094846
2010/4/6,0.9400000000000001,0,2.44,0.8300000000000001,GHCND:USW00094846
2010/4/7,0.33,0,0.9400000000000001,0.27999999999999997,GHCND:USW00094846
2010/4/8,0,0,0.44000000000000006,0.11000000000000001,GHCND:USW00094846
2010/4/9,0,0,1.33,-0.11,GHCND:USW00094846
2010/4/10,0,0,2.33,0.33,GHCND:USW00094846
2010/4/11,0,0,1.72,0.67,GHCND:USW00094846
2010/4/12,0.03,0,2.1100000000000003,0.67,GHCND:USW00094846
2010/4/13,0,0,1.72,0.8900000000000001,GHCND:USW00094846
2010/4/14,0,0,2.67,0.78,GHCND:USW00094846
2010/4/15,0,0,2.7800000000000002,1.6100000000000003,GHCND:USW00094846
2010/4/16,0,0,2,0.39,GHCND:USW00094846
2010/4/17,0,0,1.5,0.27999999999999997,GHCND:USW00094846
2010/4/18,0,0,1.11,0.22000000000000003,GHCND:USW00094846
2010/4/19,0,0,1.33,0.17,GHCND:USW00094846
2010/4/20,0,0,1.7800000000000002,0.33,GHCND:USW00094846
2010/4/21,0,0,1.67,0.5,GHCND:USW00094846
2010/4/22,0,0,1.56,0.33,GHCND:USW00094846
2010/4/23,0.18000000000000002,0,1.72,0.5,GHCND:USW00094846
2010/4/24,0.66,0,1.56,1.06,GHCND:USW00094846
2010/4/25,0.79,0,1.56,0.8300000000000001,GHCND:USW00094846
2010/4/26,0,0,1.72,0.8300000000000001,GHCND:USW00094846
2010/4/27,0,0,1.06,0.27999999999999997,GHCND:USW00094846
2010/4/28,0,0,1.7800000000000002,0.06,GHCND:USW00094846
2010/4/29,0,0,2.6100000000000003,0.78,GHCND:USW00094846
2010/4/30,0.15000000000000002,0,2.72,1.67,GHCND:USW00094846
2010/5/1,0.27999999999999997,0,2.1100000000000003,1.4400000000000002,GHCND:USW00094846
2010/5/2,2.3600000000000003,0,2.06,1.17,GHCND:USW00094846
2010/5/3,0,0,2.22,1,GHCND:USW00094846
2010/5/4,0,0,2.6100000000000003,1,GHCND:USW00094846
2010/5/5,0,0,2.22,1.33,GHCND:USW00094846
2010/5/6,0.03,0,1.72,0.78,GHCND:USW00094846
2010/5/7,1.83,0,1.5,0.7200000000000001,GHCND:USW00094846
2010/5/8,0.05,0,1,0.5599999999999999,GHCND:USW00094846
2010/5/9,0,0,1.4400000000000002,0.33,GHCND:USW00094846
2010/5/10,0,0,1.4400000000000002,0.5,GHCND:USW00094846
2010/5/11,2.4600000000000004,0,1.11,0.67,GHCND:USW00094846
2010/5/12,0.30000000000000004,0,1.06,0.67,GHCND:USW00094846
2010/5/13,3.78,0,2.2800000000000002,0.8900000000000001,GHCND:USW00094846
2010/5/14,0,0,1.89,0.8300000000000001,GHCND:USW00094846
2010/5/15,0,0,1.6100000000000003,0.61,GHCND:USW00094846
2010/5/16,0,0,1.89,0.5,GHCND:USW00094846
2010/5/17,0.03,0,1.4400000000000002,1,GHCND:USW00094846
2010/5/18,0,0,1.83,0.78,GHCND:USW00094846
2010/5/19,0,0,2.33,0.67,GHCND:USW00094846
2010/5/20,0.13,0,2.33,0.8300000000000001,GHCND:USW00094846
2010/5/21,0.53,0,2.2800000000000002,1.33,GHCND:USW00094846
2010/5/22,0,0,2.33,1.4400000000000002,GHCND:USW00094846
2010/5/23,0,0,3.17,1.67,GHCND:USW00094846
2010/5/24,0,0,3.28,2.1100000000000003,GHCND:USW00094846
2010/5/25,0,0,3.1100000000000003,2.06,GHCND:USW00094846
2010/5/26,0,0,3.0600000000000005,1.89,GHCND:USW00094846
2010/5/27,0,0,2.5,1.6100000000000003,GHCND:USW00094846
2010/5/28,0,0,2.6100000000000003,1.3900000000000001,GHCND:USW00094846
2010/5/29,0,0,3,1.5,GHCND:USW00094846
2010/5/30,0,0,3.28,1.6100000000000003,GHCND:USW00094846
2010/5/31,0.66,0,2.72,1.89,GHCND:USW00094846
2010/6/1,0,0,2.94,1.72,GHCND:USW00094846
2010/6/2,2.59,0,2.5,1.3900000000000001,GHCND:USW00094846
2010/6/3,0,0,2.17,1.33,GHCND:USW00094846
2010/6/4,0,0,2.83,1.3900000000000001,GHCND:USW00094846
2010/6/5,0.38,0,2.6100000000000003,1.56,GHCND:USW00094846
2010/6/6,0,0,2.44,1.2800000000000002,GHCND:USW00094846
2010/6/7,0,0,2.1100000000000003,1.22,GHCND:USW00094846
2010/6/8,1.1400000000000001,0,1.94,1.4400000000000002,GHCND:USW00094846
2010/6/9,0,0,2.83,1.83,GHCND:USW00094846
2010/6/10,0,0,2.5,1.4400000000000002,GHCND:USW00094846
2010/6/11,0.05,0,3.17,1.7800000000000002,GHCND:USW00094846
2010/6/12,0.86,0,2.5,1.67,GHCND:USW00094846
2010/6/13,0.6400000000000001,0,2.17,1.67,GHCND:USW00094846
2010/6/14,0,0,2.1100000000000003,1.56,GHCND:USW00094846
2010/6/15,1.5,0,2.6100000000000003,1.56,GHCND:USW00094846
2010/6/16,0,0,2.7800000000000002,1.72,GHCND:USW00094846
2010/6/17,0,0,2.89,1.7800000000000002,GHCND:USW00094846
2010/6/18,2.2100000000000004,0,3.2200000000000006,1.94,GHCND:USW00094846
2010/6/19,0,0,2.94,1.89,GHCND:USW00094846
2010/6/20,0,0,2.72,1.7800000000000002,GHCND:USW00094846
2010/6/21,0.5599999999999999,0,2.94,1.94,GHCND:USW00094846
2010/6/22,0,0,2.94,2.06,GHCND:USW00094846
2010/6/23,2.2100000000000004,0,3.0600000000000005,2.06,GHCND:USW00094846
2010/6/24,0,0,2.89,1.83,GHCND:USW00094846
2010/6/25,0,0,2.89,1.67,GHCND:USW00094846
2010/6/26,2.16,0,3.0600000000000005,2.06,GHCND:USW00094846
2010/6/27,1.37,0,2.94,2.22,GHCND:USW00094846
2010/6/28,0,0,2.7800000000000002,1.72,GHCND:USW00094846
2010/6/29,0,0,2.39,1.5,GHCND:USW00094846
2010/6/30,0,0,2.39,1.33,GHCND:USW00094846
2010/7/1,0,0,2.5,1.2800000000000002,GHCND:USW00094846
2010/7/2,0,0,2.83,1.5,GHCND:USW00094846
2010/7/3,0,0,3.0600000000000005,1.56,GHCND:USW00094846
2010/7/4,0,0,3.28,2,GHCND:USW00094846
2010/7/5,0,0,3.28,2.5600000000000005,GHCND:USW00094846
2010/7/6,0.9400000000000001,0,3.2200000000000006,2.2800000000000002,GHCND:USW00094846
2010/7/7,0.51,0,3.39,2.17,GHCND:USW00094846
2010/7/8,0.41,0,3.1100000000000003,2.2800000000000002,GHCND:USW00094846
2010/7/9,0,0,3.1100000000000003,2.1100000000000003,GHCND:USW00094846
2010/7/10,0,0,3.17,2.06,GHCND:USW00094846
2010/7/11,2.0100000000000002,0,2.94,1.89,GHCND:USW00094846
2010/7/12,0,0,2.89,1.83,GHCND:USW00094846
2010/7/13,0.43,0,2.89,2.1100000000000003,GHCND:USW00094846
2010/7/14,0,0,3.2200000000000006,2.1100000000000003,GHCND:USW00094846
2010/7/15,0.03,0,3.2200000000000006,2.17,GHCND:USW00094846
2010/7/16,0,0,3.2200000000000006,1.94,GHCND:USW00094846
2010/7/17,0,0,3.39,2.17,GHCND:USW00094846
2010/7/18,0.03,0,3.33,2.22,GHCND:USW00094846
2010/7/19,0.03,0,2.89,2.06,GHCND:USW00094846
2010/7/20,0,0,3,2,GHCND:USW00094846
2010/7/21,0,0,3.28,2.22,GHCND:USW00094846
2010/7/22,0.03,0,3.2200000000000006,2.06,GHCND:USW00094846
2010/7/23,7.090000000000001,0,3.44,2.1100000000000003,GHCND:USW00094846
2010/7/24,9.25,0,3.0600000000000005,2.06,GHCND:USW00094846
2010/7/25,0,0,2.72,1.89,GHCND:USW00094846
2010/7/26,0,0,2.89,1.6100000000000003,GHCND:USW00094846
2010/7/27,0,0,3.1100000000000003,2,GHCND:USW00094846
2010/7/28,0,0,3.1100000000000003,2.2800000000000002,GHCND:USW00094846
2010/7/29,0,0,2.7800000000000002,1.94,GHCND:USW00094846
2010/7/30,0,0,2.67,2.06,GHCND:USW00094846
2010/7/31,1.7300000000000002,0,2.67,1.83,GHCND:USW00094846
2010/8/1,0,0,3,1.83,GHCND:USW00094846
2010/8/2,0,0,2.89,1.94,GHCND:USW00094846
2010/8/3,0.71,0,3,1.89,GHCND:USW00094846
2010/8/4,1.22,0,2.83,2.17,GHCND:USW00094846
2010/8/5,0,0,2.83,2,GHCND:USW00094846
2010/8/6,0,0,2.7800000000000002,1.7800000000000002,GHCND:USW00094846
2010/8/7,0,0,2.83,1.67,GHCND:USW00094846
2010/8/8,0.2,0,3.0600000000000005,2.06,GHCND:USW00094846
2010/8/9,0.38,0,3.1100000000000003,2.22,GHCND:USW00094846
2010/8/10,0,0,3.17,2.39,GHCND:USW00094846
2010/8/11,0,0,3.2200000000000006,2.39,GHCND:USW00094846
2010/8/12,0,0,3.33,2.33,GHCND:USW00094846
2010/8/13,0.6400000000000001,0,3.33,2.2800000000000002,GHCND:USW00094846
2010/8/14,0,0,3.1100000000000003,2.22,GHCND:USW00094846
2010/8/15,0,0,2.83,1.89,GHCND:USW00094846
2010/8/16,0,0,2.67,1.72,GHCND:USW00094846
2010/8/17,0.08,0,2.6100000000000003,1.7800000000000002,GHCND:USW00094846
2010/8/18,0.13,0,2.89,1.72,GHCND:USW00094846
2010/8/19,0,0,3.1100000000000003,1.89,GHCND:USW00094846
2010/8/20,0.08,0,3.33,2.17,GHCND:USW00094846
2010/8/21,1.1400000000000001,0,3,2.17,GHCND:USW00094846
2010/8/22,0,0,2.72,2,GHCND:USW00094846
2010/8/23,0,0,2.67,1.83,GHCND:USW00094846
2010/8/24,0,0,2.89,1.7800000000000002,GHCND:USW00094846
2010/8/25,0,0,2.6100000000000003,1.6100000000000003,GHCND:USW00094846
2010/8/26,0,0,2.6100000000000003,1.5,GHCND:USW00094846
2010/8/27,0,0,3,1.5,GHCND:USW00094846
2010/8/28,0,0,3.1100000000000003,1.83,GHCND:USW00094846
2010/8/29,0,0,3.44,2.17,GHCND:USW00094846
2010/8/30,0,0,3.1100000000000003,2.33,GHCND:USW00094846
2010/8/31,0,0,3.39,2.39,GHCND:USW00094846
2010/9/1,0.43,0,2.72,2.17,GHCND:USW00094846
2010/9/2,3.94,0,2.83,1.83,GHCND:USW00094846
2010/9/3,0,0,2.1100000000000003,1.33,GHCND:USW00094846
2010/9/4,0,0,2,1.06,GHCND:USW00094846
2010/9/5,0,0,2.44,0.9400000000000001,GHCND:USW00094846
2010/9/6,0,0,2.7800000000000002,1.89,GHCND:USW00094846
2010/9/7,0,0,2.5,1.4400000000000002,GHCND:USW00094846
2010/9/8,0,0,2.17,1.06,GHCND:USW00094846
2010/9/9,0,0,1.94,1,GHCND:USW00094846
2010/9/10,0,0,2.22,1.2800000000000002,GHCND:USW00094846
2010/9/11,0.61,0,2.39,1.4400000000000002,GHCND:USW00094846
2010/9/12,0,0,2.83,1.22,GHCND:USW00094846
2010/9/13,0,0,2.7800000000000002,1.3900000000000001,GHCND:USW00094846
2010/9/14,0,0,2.5,1.22,GHCND:USW00094846
