"route","date","daytype","rides"
"1","01/04/2010","W","2,832"
"1","01/05/2010","W","3,254"
"1","01/06/2010","W","3,185"
"1","01/07/2010","W","3,139"
"1","01/08/2010","W","3,092"
"1","01/11/2010","W","3,024"
"1","01/12/2010","W","3,018"
"1","01/13/2010","W","2,916"
"1","01/14/2010","W","3,259"
"1","01/15/2010","W","2,880"
"1","01/18/2010","W","1,314"
"1","01/19/2010","W","3,469"
"1","01/20/2010","W","3,218"
"1","01/21/2010","W","3,074"
"1","01/22/2010","W","2,722"
"1","01/25/2010","W","3,078"
"1","01/26/2010","W","3,133"
"1","01/27/2010","W","3,270"
"1","01/28/2010","W","3,223"
"1","01/29/2010","W","2,596"
"1","02/01/2010","W","3,214"
"1","02/02/2010","W","3,434"
"1","02/03/2010","W","4,121"
"1","02/04/2010","W","3,729"
"1","02/05/2010","W","3,107"
"1","02/08/2010","W","2,922"
"1","02/09/2010","W","3,110"
"1","02/10/2010","W","2,757"
"1","02/11/2010","W","2,884"
"1","02/12/2010","W","2,207"
"1","02/15/2010","W","1,560"
"1","02/16/2010","W","2,969"
"1","02/17/2010","W","2,736"
"1","02/18/2010","W","3,724"
"1","02/19/2010","W","2,910"
"1","02/22/2010","W","2,730"
"1","02/23/2010","W","3,209"
"1","02/24/2010","W","2,919"
"1","02/25/2010","W","2,925"
"1","02/26/2010","W","3,005"
"1","03/01/2010","W","2,746"
"1","03/02/2010","W","2,903"
"1","03/03/2010","W","3,070"
"1","03/04/2010","W","3,415"
"1","03/05/2010","W","2,627"
"1","03/08/2010","W","2,871"
"1","03/09/2010","W","3,063"
"1","03/10/2010","W","2,770"
"1","03/11/2010","W","2,786"
"1","03/12/2010","W","2,900"
"1","03/15/2010","W","3,191"
"1","03/16/2010","W","2,969"
"1","03/17/2010","W","2,755"
"1","03/18/2010","W","3,228"
"1","03/19/2010","W","2,403"
"1","03/22/2010","W","2,799"
"1","03/23/2010","W","2,733"
"1","03/24/2010","W","3,013"
"1","03/25/2010","W","2,605"
"1","03/26/2010","W","2,687"
"1","03/29/2010","W","2,691"
"1","03/30/2010","W","2,762"
"1","03/31/2010","W","2,623"
"1","04/01/2010","W","2,635"
"1","04/02/2010","W","2,091"
"1","04/05/2010","W","2,701"
"1","04/06/2010","W","2,697"
