"route","date","daytype","rides"
"1","07/17/2023","W","922"
"1","02/10/2022","W","557"
"1","03/16/2023","W","1,123"
"1","11/20/2024","W","1,293"
"1","04/07/2022","W","798"
"1","11/03/2023","W","824"
"1","04/27/2022","W","832"
"1","12/11/2023","W","899"
"1","10/22/2021","W","535"
"1","05/03/2023","W","1,212"
"1","08/31/2021","W","643"
"1","05/06/2021","W","193"
"1","02/28/2022","W","695"
"1","01/06/2022","W","339"
"1","11/23/2021","W","579"
"1","04/22/2022","W","622"
"1","09/08/2021","W","589"
"1","07/20/2021","W","387"
"1","04/21/2021","W","271"
"1","03/27/2024","W","1,110"
"1","12/05/2022","W","650"
"1","04/10/2024","W","1,347"
"1","11/19/2024","W","1,476"
"1","03/04/2022","W","516"
"1","07/19/2024","W","667"
"1","11/21/2022","W","697"
"1","01/19/2023","W","988"
"1","10/31/2022","W","809"
"1","02/23/2024","W","817"
"1","03/25/2022","W","466"
"1","02/22/2022","W","530"
"1","05/02/2023","W","1,192"
"1","04/11/2024","W","1,154"
"1","10/04/2021","W","527"
"1","04/29/2024","W","1,070"
"1","12/13/2024","W","845"
"1","06/05/2024","W","1,263"
"1","02/09/2022","W","557"
"1","08/23/2024","W","623"
"1","07/30/2021","W","317"
"1","10/10/2024","W","1,361"
"1","12/26/2024","W","380"
"1","02/24/2022","W","686"
"1","11/03/2022","W","871"
"1","09/30/2021","W","566"
"1","03/21/2022","W","612"
"1","09/23/2024","W","1,045"
"1","11/30/2023","W","1,183"
"1","06/06/2024","W","1,104"
"1","09/30/2022","W","544"
"1","12/05/2023","W","1,298"
"1","11/18/2024","W","1,075"
"1","10/12/2021","W","616"
"1","08/02/2023","W","1,073"
"1","01/05/2021","W","187"
"1","06/06/2023","W","1,071"
"1","01/20/2023","W","733"
"1","05/01/2023","W","947"
"1","08/02/2024","W","627"
"1","03/30/2021","W","223"
"1","08/13/2024","W","1,146"
"1","12/02/2022","W","480"
"1","04/05/2023","W","1,063"
"1","01/25/2021","W","211"
"1","05/05/2021","W","234"
"1","06/16/2022","W","716"
"1","02/22/2024","W","1,310"
"1","09/02/2021","W","573"
"1","07/18/2023","W","1,033"
"1","04/04/2024","W","1,098"
"1","04/20/2021","W","309"
"1","07/03/2023","W","476"
"1","02/02/2022","W","366"
"1","02/23/2023","W","1,058"
"1","08/18/2021","W","313"
"1","10/18/2021","W","590"
"1","12/27/2021","W","311"
"1","05/03/2022","W","808"
"1","06/08/2022","W","638"
"1","12/15/2021","W","726"
"1","02/15/2021","W","190"
"1","12/02/2021","W","721"
"1","09/22/2021","W","588"
"1","07/17/2024","W","1,136"
"1","06/29/2022","W","713"
"1","06/07/2024","W","760"
"1","09/21/2022","W","952"
"1","10/09/2024","W","1,328"
"1","06/24/2022","W","694"
"1","12/01/2023","W","787"
"1","09/29/2023","W","900"
"1","08/01/2023","W","1,175"
"1","05/06/2022","W","765"
"1","06/02/2022","W","806"
"1","03/02/2023","W","1,102"
"1","03/27/2023","W","757"
"1","10/03/2024","W","1,295"
"1","10/19/2022","W","764"
"1","02/21/2024","W","1,282"
"1","09/06/2024","W","964"
"1","01/25/2024","W","1,372"
"1","11/06/2023","W","1,132"
"1","07/06/2022","W","896"
"1","04/09/2024","W","1,196"
"1","04/06/2023","W","922"
"1","10/25/2022","W","940"
"1","04/16/2024","W","1,227"
"1","11/15/2024","W","964"
"1","03/29/2021","W","284"
"1","07/20/2022","W","848"
"1","08/09/2022","W","1,020"
"1","05/24/2023","W","1,167"
"1","01/05/2022","W","289"
"1","02/22/2021","W","212"
"1","05/13/2021","W","306"
"1","01/26/2021","W","180"
"1","04/20/2022","W","642"
"1","07/18/2024","W","1,134"
"1","11/11/2022","W","497"
"1","04/19/2021","W","217"
"1","07/13/2022","W","977"
"1","03/18/2024","W","1,011"
"1","09/04/2024","W","1,358"
"1","11/02/2021","W","683"
"1","07/02/2021","W","253"
"1","04/11/2022","W","665"
"1","01/04/2021","W","208"
"1","05/08/2024","W","1,169"
"1","11/24/2023","W","262"
"1","04/28/2023","W","834"
"1","12/23/2021","W","347"
"1","06/10/2024","W","960"
"1","05/23/2022","W","762"
"1","02/20/2024","W","1,317"
"1","06/14/2021","W","304"
"1","11/14/2022","W","846"
"1","02/14/2023","W","1,199"
"1","09/24/2024","W","1,323"
"1","11/15/2021","W","570"
"1","04/05/2022","W","869"
"1","08/01/2024","W","990"
"1","01/16/2024","W","549"
"1","11/01/2021","W","602"
"1","01/26/2024","W","786"
"1","04/30/2024","W","1,277"
"1","05/06/2024","W","1,168"
"1","11/14/2024","W","1,294"
"1","08/06/2021","W","314"
"1","09/09/2021","W","496"
"1","07/19/2023","W","1,124"
"1","03/28/2023","W","1,046"
"1","06/05/2023","W","779"
"1","06/03/2022","W","755"
"1","09/16/2022","W","858"
"1","06/02/2023","W","772"
"1","12/06/2021","W","538"
"1","10/08/2024","W","1,412"
"1","06/16/2023","W","643"
"1","10/11/2021","W","339"
"1","11/07/2023","W","1,454"
"1","07/05/2023","W","846"
"1","02/07/2023","W","1,135"
"1","06/11/2024","W","1,185"
"1","12/16/2022","W","808"
"1","09/28/2021","W","566"
"1","11/13/2024","W","1,291"
"1","05/20/2021","W","291"
"1","01/27/2021","W","191"
"1","02/22/2023","W","1,113"
"1","09/09/2022","W","742"
"1","12/15/2022","W","1,078"
"1","03/22/2021","W","255"
"1","04/15/2022","W","424"
"1","06/03/2021","W","318"
"1","02/19/2024","W","674"
"1","07/15/2021","W","427"
"1","11/08/2023","W","1,283"
"1","08/16/2021","W","398"
"1","03/01/2021","W","229"
"1","09/03/2021","W","471"
"1","08/26/2021","W","429"
"1","07/25/2023","W","1,147"
"1","09/15/2023","W","912"
"1","07/21/2023","W","585"
"1","08/15/2023","W","1,163"
"1","06/12/2024","W","1,146"
"1","08/16/2022","W","784"
"1","07/22/2022","W","695"
"1","01/04/2022","W","470"
"1","08/15/2024","W","1,119"
"1","01/04/2023","W","579"
"1","03/07/2023","W","1,053"
"1","01/23/2023","W","854"
"1","07/07/2022","W","778"
"1","01/08/2021","W","242"
"1","04/27/2023","W","1,094"
"1","10/26/2022","W","806"
"1","01/17/2024","W","1,046"
"1","06/15/2021","W","311"
"1","01/22/2024","W","1,212"
"1","06/13/2024","W","1,059"
"1","01/12/2021","W","201"
"1","11/12/2024","W","1,414"
"1","11/22/2021","W","532"
"1","05/18/2022","W","779"
"1","10/07/2022","W","467"
"1","05/01/2024","W","1,227"
"1","05/09/2024","W","1,117"
"1","09/25/2024","W","1,353"
"1","08/05/2021","W","342"
"1","07/06/2023","W","877"
"1","06/20/2022","W","446"
"1","09/29/2022","W","902"
"1","02/09/2021","W","253"
"1","09/01/2023","W","774"
"1","09/10/2024","W","1,483"
"1","11/16/2021","W","705"
"1","01/28/2021","W","243"
"1","07/21/2021","W","378"
"1","04/18/2024","W","1,082"
"1","10/02/2023","W","1,106"
"1","09/13/2024","W","944"
"1","09/12/2024","W","1,342"
"1","04/16/2021","W","281"
"1","03/12/2024","W","1,422"
"1","02/25/2022","W","599"
"1","06/22/2023","W","1,013"
"1","01/24/2023","W","1,021"
"1","10/19/2023","W","1,241"
"1","03/31/2022","W","794"
"1","07/21/2022","W","832"
"1","10/26/2021","W","739"
"1","07/31/2024","W","1,111"
"1","11/09/2023","W","1,265"
"1","11/25/2022","W","195"
"1","08/17/2022","W","932"
"1","11/11/2024","W","860"
"1","05/24/2021","W","319"
"1","05/20/2022","W","599"
"1","07/28/2022","W","647"
"1","11/29/2021","W","475"
"1","06/14/2024","W","741"
"1","12/04/2023","W","925"
"1","03/15/2022","W","798"
"1","04/29/2022","W","659"
"1","03/06/2023","W","912"
"1","03/08/2023","W","1,022"
"1","09/26/2024","W","1,393"
"1","05/04/2021","W","237"
"1","04/26/2023","W","1,128"
"1","12/29/2022","W","392"
"1","07/12/2022","W","930"
"1","09/02/2022","W","531"
"1","10/05/2023","W","1,102"
"1","04/12/2023","W","1,145"
"1","04/04/2022","W","698"
"1","07/08/2024","W","755"
"1","05/18/2023","W","936"
"1","03/18/2022","W","602"
"1","01/02/2024","W","805"
"1","01/03/2022","W","385"
"1","11/10/2023","W","668"
"1","06/01/2021","W","339"
"1","07/30/2024","W","1,219"
"1","07/25/2022","W","767"
"1","03/11/2024","W","1,101"
"1","01/25/2023","W","1,045"
"1","04/25/2023","W","1,236"
"1","02/16/2024","W","776"
"1","01/29/2021","W","222"
"1","03/14/2023","W","1,181"
"1","03/04/2021","W","279"
"1","04/23/2024","W","1,146"
"1","07/07/2023","W","682"
"1","06/16/2021","W","265"
"1","05/10/2024","W","875"
"1","08/12/2024","W","874"
"1","08/31/2023","W","1,127"
"1","09/10/2021","W","524"
"1","10/25/2024","W","954"
"1","12/01/2021","W","593"
"1","04/08/2024","W","1,021"
"1","12/09/2022","W","512"
"1","03/16/2021","W","181"
"1","06/30/2022","W","772"
"1","04/15/2021","W","327"
"1","10/13/2023","W","812"
"1","12/12/2024","W","1,136"
"1","05/05/2022","W","845"
"1","12/01/2022","W","840"
"1","07/31/2023","W","928"
"1","10/13/2022","W","1,005"
"1","08/10/2022","W","933"
"1","11/17/2021","W","593"
"1","04/01/2024","W","912"
"1","11/05/2021","W","458"
"1","11/08/2024","W","700"
"1","07/01/2021","W","418"
"1","08/25/2023","W","812"
"1","10/20/2023","W","836"
"1","08/30/2021","W","441"
"1","06/17/2024","W","951"
"1","03/22/2022","W","805"
"1","01/03/2024","W","904"
"1","01/26/2023","W","1,025"
"1","07/23/2021","W","330"
"1","12/27/2024","W","358"
"1","08/04/2021","W","336"
"1","03/23/2021","W","243"
"1","01/25/2022","W","505"
"1","02/05/2024","W","1,076"
"1","02/15/2024","W","1,193"
"1","01/13/2022","W","401"
"1","11/07/2024","W","1,344"
"1","02/01/2024","W","1,292"
"1","03/29/2022","W","808"
"1","12/07/2021","W","638"
"1","06/15/2023","W","1,103"
"1","11/18/2022","W","738"
"1","11/04/2022","W","670"
"1","03/19/2024","W","1,433"
"1","06/04/2021","W","307"
"1","07/24/2023","W","903"
"1","06/13/2023","W","1,174"
"1","04/14/2021","W","215"
"1","07/11/2022","W","784"
"1","08/20/2024","W","638"
"1","12/19/2023","W","991"
"1","06/18/2024","W","1,191"
"1","10/20/2022","W","944"
"1","02/21/2023","W","949"
"1","05/10/2022","W","741"
"1","06/22/2021","W","338"
"1","02/14/2024","W","1,453"
"1","06/17/2021","W","305"
"1","04/24/2023","W","1,000"
"1","11/02/2022","W","664"
"1","06/07/2023","W","1,156"
"1","10/11/2023","W","1,447"
"1","12/11/2024","W","1,217"
"1","05/17/2022","W","804"
"1","03/01/2023","W","986"
"1","11/15/2022","W","967"
"1","01/05/2023","W","725"
"1","11/06/2024","W","1,328"
"1","06/19/2024","W","665"
"1","02/08/2022","W","634"
"1","12/08/2023","W","770"
"1","11/09/2022","W","813"
"1","08/26/2022","W","674"
"1","01/13/2021","W","200"
"1","04/08/2022","W","620"
"1","09/27/2024","W","947"
"1","02/08/2023","W","1,062"
"1","03/15/2021","W","215"
"1","05/23/2023","W","1,191"
"1","08/30/2023","W","1,146"
"1","03/29/2023","W","984"
"1","03/05/2021","W","218"
"1","09/20/2023","W","1,261"
"1","05/02/2024","W","1,033"
"1","05/17/2023","W","1,241"
"1","02/18/2022","W","454"
"1","12/17/2024","W","1,196"
"1","01/27/2023","W","650"
"1","03/11/2022","W","500"
"1","10/17/2022","W","881"
"1","04/15/2024","W","1,022"
"1","04/13/2021","W","211"
"1","11/05/2024","W","1,105"
"1","10/11/2022","W","855"
"1","06/23/2023","W","680"
"1","09/26/2022","W","741"
"1","10/12/2023","W","1,258"
"1","10/10/2023","W","1,477"
"1","08/03/2021","W","423"
"1","09/13/2023","W","1,364"
"1","10/03/2023","W","1,380"
"1","09/26/2023","W","1,323"
"1","11/13/2023","W","981"
"1","09/22/2023","W","833"
"1","10/19/2021","W","723"
"1","03/30/2023","W","995"
"1","06/20/2024","W","1,059"
"1","06/20/2023","W","1,099"
"1","10/06/2022","W","979"
"1","07/06/2021","W","396"
"1","05/27/2022","W","603"
"1","11/04/2024","W","1,070"
"1","06/06/2022","W","768"
"1","02/03/2022","W","465"
"1","11/18/2021","W","662"
"1","02/15/2022","W","604"
"1","08/16/2023","W","1,069"
"1","05/03/2021","W","321"
"1","10/18/2024","W","919"
"1","02/01/2021","W","278"
"1","07/13/2023","W","1,064"
"1","02/13/2024","W","1,361"
"1","06/21/2024","W","827"
"1","06/01/2023","W","1,278"
"1","03/22/2024","W","806"
"1","02/20/2023","W","524"
"1","01/06/2023","W","499"
"1","05/21/2021","W","259"
"1","12/20/2021","W","333"
"1","07/27/2022","W","861"
"1","08/03/2023","W","1,060"
"1","07/10/2023","W","918"
"1","11/14/2023","W","1,338"
"1","10/23/2024","W","1,284"
"1","08/23/2022","W","986"
"1","07/09/2024","W","1,326"
"1","07/07/2021","W","368"
"1","01/27/2022","W","513"
"1","05/22/2023","W","952"
"1","01/18/2024","W","1,209"
"1","05/03/2024","W","888"
"1","05/25/2022","W","786"
"1","04/06/2021","W","250"
"1","07/08/2021","W","373"
"1","11/10/2022","W","1,000"
"1","08/22/2024","W","656"
"1","03/15/2023","W","1,069"
"1","04/12/2021","W","232"
"1","01/28/2022","W","405"
"1","06/18/2021","W","329"
"1","10/14/2022","W","709"
"1","05/13/2024","W","1,001"
"1","01/23/2024","W","1,499"
"1","04/21/2023","W","774"
"1","10/27/2022","W","997"
"1","04/07/2021","W","212"
"1","07/29/2022","W","600"
"1","08/29/2023","W","1,216"
"1","01/30/2023","W","816"
"1","04/06/2022","W","826"
"1","12/10/2024","W","1,310"
"1","12/21/2022","W","487"
"1","08/04/2022","W","881"
"1","09/19/2022","W","905"
"1","03/08/2022","W","850"
"1","09/22/2022","W","950"
"1","12/07/2023","W","1,179"
"1","04/02/2024","W","1,194"
"1","01/24/2022","W","478"
"1","10/04/2024","W","985"
"1","11/01/2024","W","883"
"1","02/02/2021","W","185"
"1","07/13/2021","W","430"
"1","07/29/2024","W","938"
"1","03/01/2022","W","599"
"1","12/19/2022","W","703"
"1","04/18/2022","W","640"
"1","12/28/2022","W","291"
"1","02/23/2022","W","637"
"1","05/16/2023","W","1,214"
"1","04/20/2023","W","1,101"
"1","09/08/2022","W","890"
"1","08/10/2023","W","1,177"
"1","10/01/2021","W","417"
"1","08/22/2022","W","946"
"1","08/02/2021","W","373"
"1","06/24/2021","W","364"
"1","03/08/2024","W","873"
"1","08/27/2021","W","369"
"1","02/12/2024","W","920"
"1","02/19/2021","W","254"
"1","05/04/2022","W","735"
"1","07/16/2021","W","379"
"1","03/21/2023","W","1,118"
"1","10/08/2021","W","337"
"1","06/24/2024","W","755"
